-800, 5712, -13824, -311, 294, 177, 161
-768, 5732, -13856, -331, 278, 194, 261
-704, 5592, -13768, -328, 288, 183, 361
-928, 5656, -13784, -307, 283, 149, 461
-804, 5684, -13804, -285, 298, 175, 561
-708, 5656, -13684, -316, 297, 177, 661
-736, 5716, -13724, -313, 297, 191, 761
-796, 5680, -13816, -319, 291, 172, 861
-752, 5616, -13596, -324, 284, 170, 961
-748, 5520, -13904, -312, 263, 168, 1061
-856, 5672, -13712, -280, 256, 179, 1161
-656, 5608, -13696, -302, 276, 155, 1260
-812, 5564, -13628, -323, 319, 195, 1360
-728, 5656, -13784, -307, 287, 163, 1460
-824, 5688, -13740, -306, 317, 167, 1560
-824, 5696, -13736, -305, 276, 161, 1659
-728, 5540, -13728, -327, 281, 170, 1760
-748, 5624, -13648, -305, 270, 189, 1860
-656, 5532, -13716, -304, 267, 130, 1959
-880, 5632, -13840, -312, 291, 185, 2060
-820, 5600, -13712, -339, 293, 192, 2160
-744, 5540, -13788, -316, 319, 167, 2259
-720, 5608, -13648, -310, 304, 171, 2360
-720, 5620, -13708, -320, 310, 183, 2460
-796, 5548, -13632, -322, 303, 160, 2560
-780, 5680, -13724, -306, 275, 188, 2660
-756, 5608, -13876, -318, 281, 168, 2760
-796, 5620, -13844, -293, 283, 154, 2860
-852, 5592, -13716, -288, 288, 162, 2960
-668, 5588, -13736, -306, 293, 148, 3059
-836, 5708, -13728, -308, 302, 186, 3159
-736, 5624, -13856, -317, 290, 156, 3259
-704, 5612, -13804, -306, 305, 191, 3359
-760, 5608, -13712, -308, 285, 174, 3459
-3228, 3352, -14536, 70, -1822, 5632, 3559
1532, 10920, -15164, -4228, -10018, -7491, 3659
-6588, 5260, -12268, -8258, -18620, -12316, 3759
-12336, 6584, -10424, -16891, -24570, -17276, 3859
-12256, 2188, -4116, -32768, -11837, -16779, 3959
-10260, -956, 3740, -32768, -19619, -22661, 4059
-11984, -6012, 10408, -32400, -18971, -16495, 4159
-11584, -6104, 10764, -10539, -9746, 4048, 4259
-10768, -8860, 15008, 25612, 9447, 12703, 4359
-6500, -2392, 1364, 32767, 32767, 27536, 4459
-6100, 5464, -12560, 32767, 30379, 26439, 4559
-9572, 8024, -17052, 14637, 4382, 16972, 4659
-6352, 9300, -15144, 1780, -489, 5031, 4759
-5408, 2864, -11432, -12010, 4129, 4676, 4858
-4976, 6100, -11568, 2813, 1195, 3440, 4958
-3392, 4088, -15036, 213, 10702, -920, 5058
-2288, 19288, -32768, 4188, 3840, 1724, 5157
-3936, 8472, -20024, 4024, 16044, 4091, 5258
-716, 4800, -11820, -111, 89, 114, 5358
-668, 5844, -14064, -216, 269, 169, 5457
-676, 5840, -14012, -317, 288, 169, 5558
-708, 5708, -13716, -306, 293, 176, 5658
-764, 5672, -13660, -325, 282, 171, 5757
-740, 5680, -13728, -260, 263, 199, 5858
-724, 5684, -13944, -289, 293, 161, 5958
-780, 5708, -13764, -302, 278, 173, 6057
