-3012, 6680, -15168, 13852, 1114, -1372, 480200
-2248, 4796, -16012, 12775, -2551, -1317, 480300
-3624, -20, -16704, 12549, 1201, -2248, 480400
-1904, -2992, -16288, 12601, -1747, -1781, 480500
-3048, -3632, -14080, 12849, 899, -1745, 480600
-1972, -6784, -14220, 13617, -1720, -1930, 480700
-2112, -8512, -11968, 14143, 284, -2113, 480800
-3012, -10116, -8728, 15041, -228, -1828, 480900
-1516, -11916, -6848, 16314, 324, -2850, 481000
-1596, -12604, -3688, 18349, 1206, -2114, 481100
-836, -11208, 348, 20800, 1958, -1637, 481200
-1676, -8104, 604, 26189, -1553, -1164, 481300
4280, 1888, 13088, 28778, 7276, -1064, 481400
-7132, 2632, 14288, 22577, -11062, 8856, 481500
4328, 8508, 13768, 26094, 3181, 1136, 481600
-5156, 12276, 14580, 23837, -9941, 7661, 481700
1584, 16804, 13684, 23024, 5719, 863, 481800
-372, 18320, 12284, 22475, -6288, 1663, 481900
568, 20672, 6016, 22777, -441, 623, 482000
-3500, 20080, 5356, 20661, -2033, 680, 482100
1268, 19804, 1172, 17218, -3979, 258, 482200
-2948, 17324, -7980, 15802, -4573, 127, 482300
2512, 15804, -9816, 17024, -3323, -2398, 482400
-3736, 14664, -10384, 15228, 3107, -1434, 482500
-1532, 11288, -12968, 13031, -7320, -1137, 482600
-1212, 9724, -14444, 13186, 3439, -2297, 482700
-2772, 5364, -14308, 12902, -4025, -1024, 482800
-2836, 1800, -16716, 12842, 1204, -2103, 482900
-2624, -1112, -16956, 12566, -2122, -1607, 483000
-2780, -3276, -16832, 13028, 202, -1915, 483100
-3188, -5428, -16168, 13511, -683, -1890, 483200
-1264, -6960, -14776, 14474, 196, -1981, 483300
-1712, -9884, -12440, 15692, 785, -1919, 483400
-2032, -11788, -9692, 16840, -463, -2107, 483500
-1784, -11580, -5276, 18235, 914, -2239, 483600
-1492, -12176, -1488, 19912, 1573, -1839, 483700
-1852, -10764, 680, 23602, 1457, -1620, 483800
-280, -5728, 3772, 30114, 355, -1589, 483900
-6600, -8624, 29252, 25227, 17760, -6998, 484000
2708, -840, 12492, 26013, -9054, 1173, 484100
-4956, 4520, 21224, 25615, 12847, -5165, 484200
1008, 11276, 12612, 26727, -3215, -120, 484300
-8124, 18508, 12780, 24999, 893, 2978, 484400
1392, 20332, 6256, 23115, -2500, 1926, 484500
-1304, 21728, 5692, 22263, -1353, 1065, 484600
1384, 21336, 572, 19323, -4827, 874, 484700
-284, 18848, -1092, 14401, -577, -1237, 484800
-664, 17344, -12592, 14889, -12615, 114, 484900
1060, 13912, -11424, 15874, 9101, -3285, 485000
-3248, 12228, -11556, 15357, -6463, -86, 485100
-1372, 9312, -15316, 14121, -135, -2036, 485200
-3036, 7364, -15556, 13424, -123, -1247, 485300
-1996, 3580, -17004, 12516, -1786, -1649, 485400
-3320, 124, -17224, 13085, 575, -2243, 485500
-1700, -2900, -15568, 13021, -999, -1733, 485600
-3620, -5300, -14156, 13056, 616, -1882, 485700
-2136, -7596, -12460, 13533, -1192, -1911, 485800
-2608, -10112, -11016, 14371, 384, -1943, 485900
-2628, -11136, -9016, 15401, -235, -2121, 486000
-1124, -12412, -7428, 17141, 904, -2350, 486100
192, -12660, -4808, 19407, 932, -1714, 486200
-1096, -11124, 844, 21434, 2107, -1985, 486300
-1160, -7208, 2424, 27012, -1826, -630, 486400
3296, 464, 16836, 27013, 11747, -1240, 486500
2252, 336, 9988, 19227, -14623, 5706, 486600
4980, 11312, 16524, 24739, 8406, -1116, 486700
1412, 11768, 13844, 21588, -11563, 5917, 486800
1872, 17460, 12464, 23300, 6738, 820, 486900
-1884, 17952, 9904, 22283, -6816, 1745, 487000
448, 21912, 6840, 21729, 871, 507, 487100
-1440, 20760, 1336, 20444, -3917, 798, 487200
1064, 18684, 104, 16637, -1718, -464, 487300
-1832, 16572, -10560, 16919, -7995, 781, 487400
1900, 17348, -8524, 16766, 342, -2400, 487500
-2736, 13128, -11440, 14381, 1191, -836, 487600
-1000, 10556, -12648, 13010, -5718, -1111, 487700
-2600, 8260, -13524, 13321, 3450, -2245, 487800
-1824, 4752, -15288, 12895, -4130, -958, 487900
-3416, 2740, -15472, 12759, 1504, -2056, 488000
-2424, -432, -16044, 12588, -2471, -1622, 488100
-2884, -3828, -17380, 12970, 319, -1838, 488200
-3368, -6560, -15652, 13459, -1149, -1894, 488300
-2220, -8072, -13836, 14111, 226, -2140, 488400
-2008, -10508, -12620, 15373, 259, -2011, 488500
-2048, -11072, -8688, 16507, -361, -2462, 488600
-1164, -12132, -5460, 17755, 940, -2119, 488700
-552, -11364, -1212, 19936, 2318, -2060, 488800
-1780, -10228, 1036, 24651, 419, -1037, 488900
272, -3968, 6212, 30571, 1830, -1456, 489000
-20832, 1240, 24220, 28170, 7083, 3554, 489100
48, 2072, 12564, 28264, -4120, -1199, 489200
-15164, 10828, 21112, 26418, 3775, 3294, 489300
296, 15692, 15692, 25810, 410, 764, 489400
-5032, 18920, 10828, 23326, -6722, 5173, 489500
2500, 19300, 5636, 22349, -935, 363, 489600
-944, 21088, 3376, 21533, -835, 1204, 489700
16, 20736, 1672, 18575, -5563, 301, 489800
-400, 17532, -2032, 13573, 99, 552, 489900
-1300, 17128, -8960, 14799, -11066, -939, 490000
24, 14500, -10984, 16407, 9100, -2742, 490100
-2744, 12264, -13644, 14585, -8141, -35, 490200
528, 8728, -16528, 13648, 2579, -2680, 490300
-2900, 6420, -15396, 12579, -2271, -1139, 490400
-2168, 3456, -16820, 12543, -366, -1959, 490500
-3132, 1108, -17360, 13110, -365, -2069, 490600
-2544, -2208, -15476, 13158, -589, -1740, 490700
-3200, -6312, -15600, 13798, 1068, -2177, 490800
-1716, -8968, -14632, 13969, -989, -2031, 490900
-2684, -10956, -11484, 14839, 1115, -2224, 491000
-2768, -11368, -8900, 15951, -482, -2164, 491100
-860, -12888, -6156, 18052, 885, -2168, 491200
-960, -12908, -3420, 19957, 1317, -1921, 491300
392, -10832, -20, 21625, 1836, -1551, 491400
-256, -6328, 3904, 27050, -1392, -1231, 491500
1768, -208, 19964, 25945, 15559, -478, 491600
-936, -5296, 9192, 20155, -15354, 37, 491700
1716, 7232, 18844, 24060, 13399, -612, 491800
144, 8852, 13380, 21521, -11968, 1177, 491900
-16, 14768, 14052, 23887, 10038, -549, 492000
1328, 18672, 10780, 23113, -5878, 2609, 492100
-168, 21056, 5028, 21643, 886, 264, 492200
-1160, 20684, 2864, 20308, -5113, 357, 492300
120, 19628, -260, 15922, 278, -199, 492400
-2116, 16812, -11224, 16545, -10902, 869, 492500
3344, 17004, -9832, 16153, 2719, -3193, 492600
-3952, 13124, -9604, 14702, -334, -603, 492700
-20, 9196, -14176, 13540, -4987, -844, 492800
-2440, 7360, -14932, 13802, 3712, -2121, 492900
-2180, 3788, -15612, 12927, -4238, -837, 493000
-3340, 1832, -15484, 12445, 2284, -2193, 493100
-2124, -352, -14824, 12502, -2880, -1476, 493200
-2040, -4048, -16044, 12956, 796, -2134, 493300
-2880, -6784, -14736, 13322, -1940, -1879, 493400
